"","State","County","Median.Age","Percent.Female","Percent.Male","White.alone","Black.or.African.American.alone","American.Indian.and.Alaska.Native.alone","Asian.alone","Native.Hawaiian.and.Other.Pacific.Islander.alone","Two.or.More.Races","Hispanic.or.Latino","White.alone..not.Hispanic.or.Latino","Land.Area.in.Square.Miles","X2019.Population.Estimate","Population.Density","Percent.in.Poverty","Cases.Per.Hundred.Thousand","Deaths","Non.White","AQI.Overall.AQI","Excess_Deaths.October"
"1","WY","Albany",27.3,48.2,51.8,90.3,2,1.1,3.9,0.1,2.6,9.7,81.9,"4,273.84","38,880",9.1,20.4,7405,9,18.1,50.32733813,34.32281668
"2","WY","Big Horn",41.3,49.9,50.1,95.6,0.8,1.5,0.5,0,1.6,9.2,87.5,"3,137.10","11,790",3.76,13,3885,13,12.5,40.16608997,-6.905902599
"3","WY","Campbell",33.5,48.6,51.4,94.7,0.7,1.6,0.8,0.1,2.2,8.9,86.9,"4,802.71","46,341",9.65,9.2,6079,14,13.1,44.45238095,140.4959278
"4","WY","Carbon",38,46.8,53.2,93.9,1.2,1.8,1,0.1,1.9,18.5,76.9,"7,897.58","14,800",1.87,13.4,4453,9,23.1,8.945054945,-91.04812108
"5","WY","Converse",40.1,48.9,51.1,95.7,0.7,1.2,0.5,0.1,1.8,8.4,88.4,"4,254.88","13,822",3.25,9.5,2981,7,11.6,NA,10.49400703
"6","WY","Crook",42.6,49.4,50.6,96.2,1.4,1,0.2,0,1.1,2.5,94,"2,854.41","7,584",2.66,8.2,3771,5,6,45.61824324,23.59368272
"7","WY","Fremont",38.4,49.7,50.3,73.7,0.6,22,0.5,0.1,3,7,69.5,"9,183.81","39,261",4.28,15.7,7626,34,30.5,47.76351351,33.96760542
"8","WY","Goshen",43.4,47.4,52.6,94.7,1.1,1.5,1.1,0.1,1.5,10.8,85.2,"2,225.39","13,211",5.94,12.9,5178,9,14.8,NA,22.87618798
"9","WY","Hot Springs",49.5,49.5,50.5,94.8,0.7,1.9,0.6,0.1,1.9,4.5,90.9,"2,004.09","4,413",2.2,13.5,3150,1,9.1,NA,5.321762383
"10","WY","Johnson",45.5,49.6,50.4,95.2,0.8,1.7,0.7,0,1.7,5,91,"4,154.15","8,445",2.03,10.3,2700,4,9,42.40677966,-1.252757839
"11","WY","Laramie",36.9,49.3,50.7,91.9,2.5,1.1,1.4,0.2,3,14.9,78.6,"2,685.91","99,500",37.04,9.1,4531,26,21.4,41.81418919,-17.72036272
"12","WY","Lincoln",39.3,49,51,96.2,0.6,1.1,0.6,0.1,1.6,4.6,92.3,"4,076.13","19,830",4.86,7.9,2920,6,7.7,14.32967033,12.91936939
"13","WY","Natrona",36.6,49.6,50.4,93.7,1.4,1.5,0.9,0.1,2.4,8.7,86.3,"5,340.35","79,858",14.95,9.9,5226,46,13.7,44.82828283,84.05382496
"14","WY","Niobrara",41,54.2,45.8,94.7,0.9,1.1,0.5,0,2.8,4,91.4,"2,626.04","2,356",0.9,13.6,2207,0,8.6,NA,3.90322419
"15","WY","Park",44.4,50.2,49.8,95.9,0.8,0.9,0.8,0.1,1.5,5.5,91,"6,942.08","29,194",4.21,10.2,4213,6,9,9.524590164,25.41535299
"16","WY","Platte",47.1,49.7,50.3,95.5,0.6,1.1,0.8,0.1,1.9,8.4,87.8,"2,084.21","8,393",4.03,10.6,2657,8,12.2,17.375,5.40711159
"17","WY","Sheridan",42.1,49.9,50.1,95,0.9,1.3,0.9,0.1,1.7,4.4,91.4,"2,523.99","30,485",12.08,8.7,5599,10,8.6,40.18685121,-6.392854859
"18","WY","Sublette",39.4,46.4,53.6,95.5,0.9,1.2,0.8,0,1.6,7.1,89.1,"4,886.54","9,831",2.01,6.8,3408,1,10.9,50.02020202,-2.279597871
"19","WY","Sweetwater",34.6,48.5,51.5,93.8,1.4,1.5,1.1,0.2,2.1,16,79.3,"10,426.65","42,343",4.06,8.4,4291,6,20.7,54.77777778,65.1064518
"20","WY","Teton",39.3,48.3,51.7,95,0.7,0.9,1.7,0.1,1.6,15.1,81,"3,995.38","23,464",5.87,6.3,6849,2,19,48.03030303,-8.997545655
"21","WY","Uinta",35.5,49.5,50.5,95.3,0.8,1.4,0.5,0.2,1.8,9.3,87.3,"2,081.26","20,226",9.72,10,4376,4,12.7,46.60425532,23.63768876
"22","WY","Washakie",43.5,49.2,50.8,94.5,0.6,1.8,0.8,0.1,2.3,14.2,82.2,"2,238.55","7,805",3.49,11.9,4869,8,17.8,NA,4.05349056
"23","WY","Weston",42.9,47.7,52.3,93.2,0.7,1.9,1.7,0,2.5,4.1,90,"2,398.09","6,927",2.89,11.8,4865,2,10,41.65878378,15.08681809
